Regressor,MSE,MAE,RMSE,R2 Score
120,18.22911995269044,2.290000083622586,4.269557348565591,0.9304979927174944
130,20.96145274903478,2.4472514607011693,4.578367913245372,0.9200804512013597
140,21.01800170171592,2.4556919471862573,4.584539420892345,0.9198648475007278
150,21.240552482155643,2.468596850836032,4.608747387539877,0.9190163300735019
160,21.58144615631298,2.490695220564527,4.645583510853397,0.9177166077234745
170,21.713113611266017,2.501125846747908,4.659733212456054,0.9172146003618045
180,22.70478547316118,2.5162462768788125,4.764953879436944,0.9134336616688689
190,22.85130443120993,2.506138371898065,4.780303801141715,0.9128750301103647
200,23.298502218596322,2.5129769147115604,4.82685220600303,0.9111700029913204
210,23.46379502804759,2.5191769831014943,4.843944160294129,0.9105397925326673
225,23.847306216945658,2.5350165153953563,4.883370374745874,0.9090775827544173
240,24.155617158254316,2.549882444491035,4.914836432502542,0.9079020883068672
255,25.282760138449785,2.5869694608778904,5.0281965095300105,0.903604640058061
270,25.469654303972614,2.5942176968338173,5.046746903102296,0.9028920702967704
285,25.783560808575512,2.5962236819012072,5.077751550497081,0.9016952416936586
300,28.917248023196738,2.7193719609387608,5.377475990015831,0.88974745967363
315,29.096502357636275,2.7213422915433805,5.394117384488057,0.8890640182299415
330,29.647706624490464,2.7306599220851493,5.444970764337533,0.8869624465101617
345,29.876957822036342,2.7324756943135906,5.465981871725916,0.8860883824608434
360,29.88712634270376,2.729457867207793,5.466911956736066,0.8860496130304314
390,30.53034066079093,2.7371008735245606,5.525426740152378,0.8835972353876309
420,32.52124187680722,2.7996865099462296,5.702739857016732,0.8760065436168035
450,33.0316318713981,2.8269444896467646,5.747315188102885,0.8740605841183178
480,33.433204465740424,2.8259740742007797,5.7821453168992925,0.8725295117764346
510,33.66999005115217,2.814043952187158,5.802584773284417,0.8716267214319533
540,34.085437383222285,2.7943584964228316,5.838273493355915,0.8700427489980689
570,34.510531317977545,2.8058214707178886,5.8745664791521035,0.8684219970459294
600,35.021641869528,2.8335965231665714,5.917908572251518,0.8664732902861836
700,37.87460838826385,2.940840361030659,6.154234996184647,0.8555958096246632
800,41.53689800149727,2.955911784865584,6.444912567405183,0.8416326298315528
900,43.934805788215336,3.0003795537738522,6.628333560421906,0.8324901476443829
1200,44.446414617537386,3.0242235994669455,6.666814428011131,0.830539541105306
1500,50.90349105205259,3.2127188250386403,7.134668251015781,0.8059207018777362
1800,50.95665992375607,3.2290382512834896,7.138393371323555,0.8057179853824842
2700,56.45044776520028,3.4373901559967073,7.513351300531626,0.784771868205377
3600,62.937460357477505,3.5804803879421874,7.933313327826999,0.7600388916491712
7200,66.14631981584047,3.6510739558353595,8.133038781159257,0.7478045010684693
14400,90.63608577761718,4.010617842755513,9.520298618090568,0.6544325831349846
