,mse,mae,rmse,r2_score
train,4.09882363595322,1.1294229531918025,2.0245551698961477,0.9318026288903465
train_mean_120,120.77302651839123,9.054187168960429,10.989678180838201,-119.77302651839123
test,11.585399256372687,1.6465867517814519,3.403733135304924,0.8345646181746249
test_mean_120,130.28395946931718,9.335616768458049,11.414199904913055,-113.432152679518
