,mse,mae,rmse,r2_score
train,7.791191897932452,1.5227144436579652,2.7912706600995274,0.8703679756823065
train_mean_120,120.92680239446237,9.052029023281722,10.996672332776965,-119.92680239446237
test,10.562337346715262,1.6257973951310778,3.2499749763213965,0.8491735784624695
test_mean_120,132.51241743130683,9.350999473481622,11.511403799333374,-115.3894714683006
