,mse,mae,rmse,r2_score
train,7.824281828662648,1.5161474048495733,2.7971917754531326,0.8698174161836725
train_mean_120,120.7245642861037,9.05202902328172,10.987473061905712,-119.7245642861037
test,10.45505161134565,1.6172766593247956,3.2334272237589716,0.8507055806147066
test_mean_120,132.24634612242158,9.350648954699288,11.499841134660148,-115.15577337710032
