,mse,mae,rmse,r2_score
train,7.946839791645776,1.5146600355757873,2.819013975071031,0.8677782626053898
train_mean_120,120.5016847409705,9.05202902328172,10.97732593763028,-119.5016847409705
test,10.491693324155928,1.6131474704372002,3.2390883476922836,0.8501823499848973
test_mean_120,131.95552565346205,9.349732872000518,11.487189632519437,-114.90033738604
