,mse,mae,rmse,r2_score
train,33.04609370267193,2.233116800844234,5.748573188424405,0.8720144844099027
train_mean_120,337.1838707497045,11.811580486860466,18.362567106744756,-336.18387074970457
test,19.79235340317548,2.273361643929093,4.448859786863987,0.8259757395091427
test_mean_120,218.0577967982791,11.325488714784019,14.766780177082582,-520.6425237209202
