,mse,mae,rmse,r2_score
train,36.781873263698614,2.2272604884731915,6.064806119217548,0.8575460368665766
train_mean_120,326.401368831756,11.811580486860466,18.066581548033817,-325.40136883175603
test,18.148731610119363,2.1673792183083087,4.260132816018693,0.8404272835593493
test_mean_120,212.44112679944965,11.335290911430926,14.575360263110126,-507.20620566159687
