,mse,mae,rmse,r2_score
train,33.17619714540064,2.2290734348602794,5.7598782231398475,0.8715106016712196
train_mean_120,335.92362014187785,11.811580486860466,18.328219229970976,-334.9236201418779
test,19.631244905324724,2.2567252306714156,4.430716071395765,0.8273922859210905
test_mean_120,217.0552040424956,11.329944229415977,14.732793490797853,-518.244099894438
