#{"t_start": 1682861908.1442, "env_id": null}
r,l,t
0.0,38,5.857173
-247.464503,38,6.566046
649.371414,32,7.109316
23.607083,31,7.662564
-5125.0,38,8.399088
653.061224,38,9.145341
329.889743,38,9.869555
9.302326,38,10.590396
0.0,38,11.297162
3261.240294,10,11.44577
0.0,38,12.188216
-669.26077,38,12.947331
2144.944025,38,13.703841
1131.301113,16,13.948258
521.30619,38,14.718033
-773.246205,38,15.480308
0.0,38,16.254845
-1349.912033,7,16.354237
-228.426621,21,16.700224
-1061.075444,10,16.846113
-237.299601,33,17.476539
52.914191,38,18.199595
1504.567619,20,18.531368
308.429167,35,19.168909
1451.81705,32,19.751212
-109.889286,38,20.473455
153.78896,10,20.606003
25.641154,38,21.32468
-116.622234,38,22.070121
135.50122,38,22.777789
601.545542,38,23.466574
1802.598357,17,23.700083
9100990.09901,38,24.38963
303.029167,38,25.087032
-42.550147,19,25.359508
-1581.41763,37,26.014963
949.264794,38,26.706707
-666.666667,38,27.409786
-56.140667,38,28.126567
270.27,38,28.820892
71.596774,38,29.50268
0.0,38,30.180326
-221.995119,38,30.874249
284.554398,38,31.57933
229.555294,38,32.291169
27196487.343366,38,33.022913
137.389139,38,33.744743
329.108175,38,34.46596
-107.526667,38,35.159419
-972.231328,38,35.86374
-1331.714472,38,36.597301
1870.924215,38,37.298574
-9571.013707,38,38.038152
2342.028986,38,38.771445
-114.285429,38,39.509459
0.0,38,40.234603
-428.336399,10,40.370318
9076655.713152,38,41.076284
10.096329,38,41.777341
1428.571429,38,42.473148
-785.271536,34,43.0967
-71.307315,38,47.323661
-2618.142394,29,47.841186
1379.294371,34,48.483766
568.707347,16,48.72935
-65.153145,38,49.467938
-2285.714286,38,50.168415
-209.165441,38,50.885992
-1272.727273,38,51.622906
807.804878,19,51.918595
885.455164,29,52.440969
-1432.916689,15,52.665482
-162.036875,38,53.410995
9322705.372933,38,54.139253
320.0,38,54.868212
860.501087,37,55.564116
-34.187778,38,56.299222
327.724494,38,57.045884
-38.2011,38,57.772541
-4171.643495,38,58.50333
622.008947,38,59.231121
-3334.573604,38,59.985509
120.091501,38,60.746983
269.451429,38,61.485156
-64.367333,38,62.177876
147.617712,38,62.874639
2681376.50008,38,63.590068
203.323939,38,64.30141
310.223709,38,65.021262
-664.674498,38,65.731633
-197.682162,38,66.449703
363.636364,38,67.183951
-714.364587,30,67.720103
412.268744,38,68.461121
-13.292065,38,69.191257
415.404994,38,69.943795
-21.17935,34,70.566767
-3741.510947,38,71.3022
1610.219134,31,71.851002
1031.667186,26,72.278255
-6.578352,38,72.981698
235.358032,38,73.655174
251.632122,10,73.779408
-20.434138,38,74.478595
-4631.780206,12,74.634371
818.222843,28,75.074776
-184.210526,33,75.654601
-175.516038,38,76.362725
-2457.457116,38,77.098115
-294.0234,38,77.825005
663.950023,38,78.569999
811.360047,34,79.189494
1530.595122,38,79.887276
397.63555,38,80.597152
899.1123,11,80.742398
3683.050714,7,80.834725
170.94,38,81.531362
193.975169,38,82.239369
66.66625,38,82.950358
69.93,38,83.677768
0.0,38,84.426221
267.65498,38,88.299717
27.13871,38,89.037434
-3679.672165,38,89.735361
1124.564652,38,90.433215
-58.433116,38,91.14811
148.764826,38,91.851896
516.083155,38,92.560004
400.0,38,93.272359
1261.967118,12,93.437673
218.655381,38,94.126118
-482.25105,38,94.831333
64.935,38,95.51638
-125.484735,38,96.197648
-1482.494005,12,96.36132
420.254152,38,97.05019
-221.290433,38,97.756792
1380.0,30,98.247337
-103559.151882,25,98.646201
204.764793,38,99.349816
31.847826,38,100.077651
-363.636364,38,100.822828
-342.716744,38,101.572216
324.809567,38,102.307552
-352.388903,38,103.037083
-155.639205,38,103.753296
776.006957,38,104.472977
-186.48,38,105.182323
-414.28675,38,105.909942
-3766.602019,38,106.634672
-884.964455,11,106.799159
0.0,38,107.562007
627.942857,38,108.337043
-226.102601,38,109.078192
-133.868393,27,109.547526
-163.265306,38,110.272078
-64.069625,34,110.88245
0.0,38,111.617579
-54.599769,38,112.348962
73.743115,38,113.078835
462.512763,14,113.27518
-208.2444,28,113.760584
-30.958075,38,114.492737
-256.003069,38,115.19404
-3632.800368,5,115.259773
702.345694,38,115.949013
-178.76992,38,116.635545
1740.350264,35,117.264857
-2205.882353,20,117.572186
-148.161364,38,118.300793
-1297.619048,6,118.375036
860.213333,38,119.085066
24.615385,38,119.808028
118.04078,38,120.532759
-4642.862173,38,121.257984
0.0,38,121.981731
426.893617,11,122.141766
1244.444444,37,122.838039
176.124421,38,123.584716
662.068966,38,124.327002
-356.921812,38,125.062113
-1461.538462,38,125.812442
-1511.745208,38,129.84416
2863.96435,15,130.07298
311.652805,38,130.828168
1774.669244,20,131.146922
1084.050451,38,131.882781
-124.581935,38,132.604118
-4088.888889,37,133.279321
0.0,38,134.003145
1093.069906,27,134.444457
-663.703364,38,135.146289
138.724588,38,135.875166
51.282308,38,136.616139
0.0,38,137.306285
193.198846,38,138.006336
0.0,38,138.728352
205.647812,38,139.433529
-272.006036,38,140.12947
216.45,38,140.881028
239.244835,17,141.133049
228.572,38,141.837972
48.226694,30,142.36449
7205690.440874,17,142.619315
11.741972,38,143.352727
800.118065,22,143.693324
-791.58,15,143.904986
-2445.390763,38,144.627408
501.321243,38,145.376576
807.270876,38,146.116741
2073.428543,38,146.850492
-195.034335,38,147.591694
3.932577,38,148.318575
194.782,38,149.052634
108.505,38,149.791759
644.04587,38,150.522167
-2509.924141,32,151.106485
2000.0,38,151.817209
103.652008,27,152.276162
-66.648453,38,153.016227
-76.234999,34,153.645099
0.0,38,154.362835
0.0,38,155.092371
87.209063,38,155.823328
357.90269,38,156.554736
0.0,38,157.274447
692.176555,38,158.008054
345.868008,38,158.726673
122.233991,38,159.399873
374.910733,38,160.10519
13854417.727487,28,160.576465
721.103043,38,161.277612
63.795789,38,161.974875
21.977857,38,162.68748
571.052471,28,163.139167
290.909455,38,163.840612
-459.862878,5,163.898769
-335.98495,10,164.038608
-184.234564,38,164.769117
1652.018428,38,165.461387
-5281.380738,38,166.182184
596.006882,27,166.625371
935.141943,38,170.521381
-55.411429,38,171.264876
25.016315,38,171.978096
-326.619307,37,172.673867
-134.68,38,173.382159
88.668621,38,174.096492
217.418096,38,174.797236
55.439744,38,175.500094
547.595529,31,176.059436
226.246222,38,176.783405
-1107.81097,38,177.510426
-44.483997,38,178.337818
0.0,38,179.065176
1117.117117,38,179.802808
-45.79029,23,180.180132
6962376.237624,38,180.910959
-888.715316,13,181.096026
-65.820088,38,181.808164
87.952399,38,182.518728
235.535903,38,183.234394
-59.926253,38,184.060532
-6301.493231,38,184.845496
0.0,38,185.598157
1202.501094,8,185.703384
26.50141,38,186.426945
344.332941,38,187.129803
-330.6151,11,187.278335
-171.529147,38,187.99961
701.753684,38,188.72162
-6604.175543,38,189.44042
1879.02,38,190.158466
8753.388776,38,190.865396
148.286941,38,191.569159
-3082.270207,38,192.259252
117.872675,17,192.501025
-250.966206,38,193.211679
-1889.358305,5,193.282174
157.699286,38,193.998308
-19.191568,27,194.463158
569.236847,13,194.648633
-34.327342,38,195.363382
153.01446,38,196.070733
357.14375,38,196.753179
-352.841125,38,197.439286
0.0,38,198.123587
-119.193073,38,198.842752
90.577087,38,199.530138
1634.139318,9,199.652551
-5935.693732,20,199.941757
257.241257,25,200.344297
0.0,38,201.029579
409.039548,15,201.243158
1107.000874,35,201.867102
151.739521,13,202.04637
1575.707778,6,202.126049
0.0,38,202.845771
557.177566,38,203.544586
-300.582559,38,204.254781
718.837663,11,204.405516
331.301215,36,205.085674
-606.265609,38,205.821958
-3844.332325,28,206.339886
-676.080953,28,206.820684
-875.960581,16,207.054429
-29.157095,38,207.778072
-392.785982,38,211.7263
-384.289856,38,212.405728
-177.778,38,213.09847
238.034338,38,213.788643
1440.0,38,214.462375
1034.942641,38,215.137561
2423498.545711,32,215.674747
-430.167733,38,216.368603
481.205714,38,217.084392
-132.776745,38,217.811443
514.373015,32,218.36469
44.736222,38,219.075208
224.888317,38,219.782842
496.889068,38,220.480624
0.0,38,221.171534
11477227.722772,38,221.868496
962.334547,38,222.573342
-2237.874476,26,223.043698
-526.315263,38,223.762616
-2915.759902,38,224.461536
-134.245531,38,225.149107
566.951439,29,225.662874
-234.113456,24,226.06155
203.174222,38,226.765068
-1966.472359,24,227.16109
165.630435,38,227.881109
676.364872,38,228.566043
701.753684,38,229.270053
-456.377674,9,229.38527
100.812278,38,230.075122
1134.754785,38,230.767653
516.716809,38,231.459103
-3159.794037,15,231.670267
0.0,38,232.369571
-4.396791,38,233.112734
-27.100244,38,233.821435
-461.37527,38,234.542315
1749.830738,6,234.621317
84.00006,38,235.322206
358.316641,10,235.456882
-162.601463,38,236.179332
6485911.155281,37,236.852922
-154.44,38,237.548986
3064.72869,35,238.162799
16.666563,38,238.852532
128.511208,38,239.542621
0.0,38,240.270136
-66.252174,38,241.005178
-1866.666667,26,241.455981
-2131.486781,25,241.875903
-268.312304,38,242.61172
746.37456,33,243.183897
-1645.572744,23,243.545978
135.921715,24,243.942167
968.105505,38,244.728034
293.04,38,245.438398
-848.308769,24,245.827197
-651.167498,14,246.035012
165.164804,38,246.718675
-130.719444,38,247.396764
266.666667,38,248.098017
640.888197,16,248.332747
135.59322,38,252.224777
-258.586182,38,252.899688
180.087143,38,253.575164
-784.979675,38,254.249089
791.202857,38,254.92936
558.729111,38,255.622021
-1810.530203,38,256.328045
1563.161646,38,257.034418
-852.800531,33,257.603268
679.966807,8,257.706592
-66.43734,38,258.395539
855.628856,38,259.087875
-258.064516,38,259.815556
1268.292683,38,260.497065
212.389381,38,261.20138
-412.342669,38,261.88437
-140.379865,38,262.560162
725.503942,37,263.206376
181.796546,38,263.87672
782.464526,38,264.56784
782.4429,22,264.903028
-15.893104,38,265.596787
592.02,38,266.28093
512.555714,38,266.965657
-1098.020252,38,267.639549
-33.624163,38,268.316123
-4667.439823,38,268.993617
-1143.477636,11,269.138879
-1931.034483,38,269.844222
-103.895455,38,270.532551
57.471379,38,271.23625
22958947.666195,17,271.485379
156.74914,38,272.181627
726.978798,38,272.884687
114.520654,38,273.580214
-227.247317,38,274.284855
890.283447,38,274.974866
1455.459316,32,275.521287
353.467064,38,276.228684
-199.441881,38,276.947562
944.119714,10,277.074011
-1623.290695,38,277.767301
-2028.282828,32,278.323937
44.171438,38,279.056633
2123.442521,22,279.386508
-174.517445,25,279.777092
760.587214,38,280.456062
-48.097804,25,280.855586
810.126582,38,281.528763
3190.129543,17,281.775635
0.0,38,282.461873
0.0,38,283.149193
-420.388184,38,283.828173
-4085.557747,20,284.122553
-117.647059,38,284.826883
-964.469899,38,285.518603
1630.210133,38,286.198654
1629.162188,38,286.898402
640.0,38,287.601457
455.99163,38,291.381336
2170.736364,18,291.638576
-543.628882,38,292.336899
-34.582892,38,293.050975
1159.187773,38,293.734527
-256.41,38,294.434586
-1142.857143,38,295.136863
-240.0,38,295.81218
589.582536,38,296.485168
-1367.875648,38,297.164377
1257.606176,38,297.870548
171.817702,38,298.544298
515.830158,16,298.767056
770.719444,29,299.247758
651.339228,14,299.44317
586.827345,10,299.567662
-132.704685,38,300.247968
1422.110985,28,300.70981
-75.623941,34,301.295547
101.563243,38,301.998024
-397.223729,38,302.670413
-202.702703,38,303.355218
-94.84831,38,304.039555
0.0,38,304.721087
173.914783,38,305.419592
544.217143,38,306.121246
-72.579375,38,306.83584
29.832376,38,307.528012
251.092143,11,307.67516
3005.540176,38,308.389755
-61.546329,38,309.102961
8813918.333519,31,309.632965
559.446454,12,309.796378
-1591.860349,18,310.051339
394.423752,5,310.113648
166.404922,6,310.181521
-1069.043018,38,310.870671
250.342745,38,311.564901
2276.947957,4,311.616323
-1904.761905,38,312.300277
-3675.675676,38,312.989761
-488.863062,14,313.186696
-278.537474,38,313.862045
-354.17193,38,314.545468
-372.928804,38,315.228522
0.0,38,315.912042
1240.124565,38,316.598987
-110.434445,38,317.320992
246.140226,38,318.007554
-61.538462,38,318.687308
486.500198,38,319.370651
0.0,38,320.060663
0.0,38,320.730549
-1512.176096,38,321.428835
-1724.069941,37,322.091154
-66.956944,38,322.774297
44.4445,38,323.464928
-358.422222,38,324.179624
-5724.783561,24,324.56132
317.273455,11,324.710484
-3200.0,38,325.427003
1639.301765,31,325.963394
15249702.377597,17,326.221855
-142.817931,38,326.930486
816.326531,38,327.612657
2477.633951,22,331.174222
0.0,38,331.89949
363.726868,38,332.650629
435.207942,38,333.417364
-1263.157895,38,334.139613
-46.29625,38,334.806641
608.519118,38,335.499318
-2517.345641,16,335.723501
-501.010727,38,336.469238
-91.470263,24,336.874586
1123.798447,38,337.563257
-259.457838,38,338.248763
714.2875,38,338.940035
0.0,38,339.63481
-1275.362319,38,340.363291
401.136058,38,341.087083
-1244.756014,33,341.687348
-1385.922013,38,342.418381
-120.077748,24,342.815629
1742.764377,33,343.40923
172.028439,38,344.121872
-44.247553,25,344.543389
-8930.255168,14,344.748119
43.47875,38,345.454404
1333.333333,38,346.160953
-140.667213,38,346.867048
675.324675,38,347.574996
120.66359,38,348.311305
584.413099,21,348.638733
37.414675,38,349.389843
-63.604993,38,350.109668
65.933571,38,350.79812
256.41,38,351.500566
0.0,38,352.208625
145.454545,38,352.924808
326.613358,38,353.619109
89.502829,38,354.299705
57.890037,38,354.993447
-207.563389,38,355.684735
-195.121951,38,356.374567
120.301429,38,357.076046
745.83818,6,357.150409
80.0,38,357.838417
1252.667661,38,358.529912
0.0,38,359.244762
3.775916,38,359.943486
-1651.282308,6,360.025511
0.0,38,360.741842
-3250.0,38,361.456095
83.478,38,362.156799
-2474.928912,30,362.653567
0.0,38,363.349998
415.079365,8,363.448932
141.518912,38,364.139677
618.03383,38,364.836084
-942.605152,38,365.531318
-377.967865,38,366.223777
23.703704,38,366.922259
618.193876,8,367.029691
222.870975,38,367.70951
1830.508475,38,371.631308
1098.485273,28,372.090777
599.754302,38,372.75227
0.0,38,373.460219
-35.998031,38,374.17173
130.18799,38,374.87566
162.199168,38,375.572145
558.139535,38,376.264202
-150.641061,38,376.975214
-169.52381,11,377.125288
743.520892,38,377.825883
0.0,38,378.528998
-224.761905,8,378.629924
-181.818182,38,379.33823
-364.470551,36,379.994081
-199.684043,38,380.693584
3346923.532997,16,380.919562
-8176.577964,38,381.609025
322.498201,38,382.308494
638.413347,25,382.71114
11.648031,38,383.409027
834.834237,38,384.106483
-307.246425,24,384.487505
80.388949,38,385.190845
-4503.805343,38,385.910931
-4211.259471,10,386.045892
1699.89181,24,386.421877
-488.549618,38,387.10975
1307.69,17,387.345406
230.902295,38,388.035083
-506.329114,38,388.715846
341.787159,30,389.208224
-301.886792,38,389.897199
1999.546372,5,389.962072
-7157.894737,38,390.676487
-1846.153846,38,391.42368
0.0,38,392.139336
-637.126883,38,392.862306
1921.210537,38,393.590006
-357.735133,25,393.997242
-162.036875,38,394.692496
934.212454,10,394.824359
0.0,38,395.519127
898.123846,38,396.206023
-2659.296737,38,396.904235
1147.574167,7,396.996434
-74.897026,38,397.690893
-3618.087625,25,398.095126
99.228903,38,398.824871
250.204686,38,399.538146
467.265076,12,399.706168
-133.332,38,400.394233
484.846667,38,401.112942
-156.862745,38,401.787826
-174.418125,38,402.500647
613.208382,19,402.780275
29.556207,38,403.511438
-25.750369,38,404.205348
240.267097,25,404.60701
2007.52622,38,405.31274
-200.0,38,406.021554
495.155829,38,406.731428
448.393734,38,407.447089
929.196391,38,408.153098
904.410723,38,412.094755
16.207294,38,412.778886
-25063.839424,11,412.933302
355.556,38,413.619622
-192.453925,16,413.848812
-109.016375,38,414.527991
320.048759,38,415.212094
182.55522,38,415.883726
-36.286273,38,416.565843
172.043333,38,417.312204
-314.143543,30,417.799253
-206.828316,38,418.472117
158.141103,38,419.171217
237.212279,38,419.852867
187.024542,33,420.43464
-612.521034,24,420.815217
76.947303,38,421.503191
-1482.249506,32,422.038217
-39.716006,38,422.711142
0.0,38,423.398663
24.327895,38,424.1267
-3490.073608,12,424.287258
190.107703,38,424.975202
-4000.664821,8,425.077862
458.541595,11,425.214603
46.920909,38,425.908623
1044.508011,30,426.440497
92.5925,38,427.143131
-106804.077741,25,427.523234
-131.611706,38,428.227514
17305686.273267,38,428.914017
232.557791,38,429.621293
-592.819793,38,430.333996
133.3335,38,431.029645
-1043.478261,38,431.713962
0.0,38,432.406451
25.988928,37,433.079324
192.76497,38,433.7853
1263.40352,27,434.231255
-616.526747,5,434.288543
-258.366717,38,434.961936
-101.01,38,435.644444
545.976724,10,435.76895
