,r,l,t
train_monitor_2_-2_+2.csv,1045584.3780118702,35.33945602260685,2006.825569108972
train_monitor_+4_-3.csv,456650.57585976244,32.805015895443304,2042.0657384927588
train_monitor_new_-2_+2.csv,38488.12702951907,20.940833627693394,561.7483599143412
train_monitor_-2_+2.csv,65607.73849382956,18.382197103497,992.4440660543978
train_monitor_128_+10_-3.csv,1451773.7883687334,37.45672907099965,3373.471953252914
train_monitor_2_+4_-3.csv,347373.7556531201,32.91628399858707,1881.46766654645
train_monitor_32_-2_+2.csv,1348.239555507241,33.064288237371954,2241.3693128210875
