#{"t_start": 1683043073.689549, "env_id": null}
r,l,t
262.327296,38,5.989006
-412.263795,38,6.788368
23.210946,38,7.557846
-837.341006,3,7.599702
1200.0,38,8.382091
417.645532,9,8.506972
-151.776261,37,9.249163
339.968944,6,9.325069
909.19614,3,9.365388
4312.625873,5,9.433605
304.186047,12,9.6181
-669.827925,7,9.716961
73.00241,7,9.82028
-598.205085,38,10.633639
-630.30303,21,10.9869
0.0,38,11.81059
-4245.498221,9,11.940449
-923.778937,8,12.058244
449.08337,38,12.85811
1631.956723,38,13.657092
1275.895443,38,14.456943
382.865129,5,14.526142
1885.52,38,15.331641
400.0,38,16.105477
2681.446366,4,16.175589
-30.302917,38,16.958239
-117.542116,38,17.77354
-1448.447348,17,18.056166
-383.859988,38,18.864048
135.50122,38,19.618567
417.455619,9,19.736144
1245.4555,13,19.916066
-930.507186,4,19.966845
60.604924,21,20.325194
364.331582,38,21.104156
-2663.158945,14,21.341331
-3847.345137,16,21.602176
-172.414138,38,22.396873
1410.526,7,22.500529
270.27,38,23.269187
71.596774,38,24.046416
466.654717,19,24.37553
2068.403547,28,24.885729
-304.255409,38,25.695805
280.0,38,26.483232
-2199.511218,5,26.555806
-2238.559436,20,26.905792
747.883691,38,27.740716
-1031.66,24,28.189995
-1105.284397,14,28.418571
-993.982336,11,28.605947
-2450.623646,25,29.019237
1800.162563,38,29.840159
-167.084444,38,30.633498
-81.135882,38,31.374416
766.173604,17,31.69028
184.858318,38,32.455039
1149.954649,38,33.277835
-10.099683,12,33.462875
-160.0,38,34.309154
-565.58182,38,35.202566
-141.882962,38,36.016249
1474.682519,38,36.814735
783.152902,10,36.997321
388.663846,38,37.785873
1819.245226,3,37.829958
1256.037391,38,38.612987
76.9417,38,39.489373
77.654851,38,40.318255
-157.356707,38,41.169009
-244.024527,38,41.956914
-2646.907015,4,42.025919
-124.069355,38,42.84002
-2041.08103,4,42.894623
1439.204516,38,43.744588
-214.485619,38,44.572523
1965.812222,13,44.769376
856.846943,38,45.594367
1135.552201,14,45.812147
-1678.899123,4,45.865356
-922.222222,21,46.275687
334.705224,38,50.580034
-1561.185307,10,50.71485
269.451429,38,51.500426
2529.12288,20,51.80022
43.651,38,52.567838
1589.340282,2,52.593681
203.323939,38,53.365122
-3112.376004,6,53.456149
34.633006,38,54.169726
-200.0,38,54.937308
-1651.371846,34,55.595773
0.0,38,56.36869
-231.002777,15,56.597145
-563.169382,25,57.014244
-2284.158523,26,57.492186
-679.088547,26,57.925225
1058.678806,38,58.713027
2263.60419,11,58.878417
1874.486426,38,59.675336
339.295037,33,60.342756
-1236.425443,14,60.554342
-5.325639,6,60.649853
654.545,9,60.775505
-4083.609064,5,60.841739
1090.111019,10,60.995354
398.80339,38,61.757449
-439.189189,38,62.543466
-1758.722765,32,63.12727
22.090057,38,63.886967
-4344.180362,35,64.581882
562.05921,32,65.16771
-988.245202,38,65.923295
726.654565,38,66.709751
-1150.288118,38,67.493278
3680.952381,7,67.582248
527.009091,38,68.34647
-2935.121264,5,68.426925
114.286,38,69.140753
-11.31158,7,69.234386
1600.881595,32,69.833056
211.322312,38,70.578763
70.028044,38,71.300259
-164.103385,38,72.070431
971.779457,38,72.843266
-183.701676,38,73.599606
-1413.275609,22,73.950307
432.42787,38,74.739009
-4171.428571,33,75.337993
1099.637506,10,75.478583
218.655381,38,76.226105
-186.291492,38,76.982078
-528.205769,20,77.292565
184.569885,38,78.055436
552.994839,38,78.829146
290.875404,38,79.554019
-147.258424,38,80.34005
949.085,6,80.419173
-864.822045,37,81.153405
204.764793,38,81.913579
2195.856749,28,82.403424
-312.842808,6,82.487957
-301.658974,38,83.260145
380.312127,38,84.046235
2942.221733,5,84.109273
351.825346,27,84.556721
596.52185,38,85.337112
550.922632,3,85.374856
2723.464619,23,85.784765
2027.087847,38,86.540482
976.834899,38,87.323492
1057.906386,22,87.689673
-2101.639831,19,88.009641
-192.598363,38,88.756045
-17.09483,38,93.203157
138.010213,38,94.185185
-1111.517368,38,95.104361
-290.107714,38,96.031076
14.10571,38,96.913858
108.024156,38,97.823005
-207.03074,38,98.601006
244.263389,38,99.381969
70.132111,38,100.174674
-360.34456,38,100.912306
1375.831721,38,101.670599
467.744701,38,102.441246
-374.96652,38,103.215506
-69.036465,38,103.949642
231.366452,38,104.712799
-180.794102,38,105.477217
-47.619048,38,106.255827
860.213333,38,106.984576
315.861669,20,107.336523
118.04078,38,108.084327
537.673704,38,108.863299
184.108021,38,109.659536
47.619048,38,110.487699
-248.622952,38,111.274032
1120.875905,38,112.065411
115.384615,38,112.866108
-356.921812,38,113.730258
870.782018,38,114.687377
860.291706,38,115.603492
5.998887,38,116.707842
137.857935,38,117.561779
-541.630511,38,118.438889
-374.895231,38,119.326306
-124.581935,38,120.251547
1540.740741,38,121.019816
-321.855239,38,121.785407
-825.523135,38,122.607102
-676.245524,38,123.390235
375.440906,38,124.18419
218.181818,38,124.960059
-284.733937,38,125.744775
193.198846,38,126.573687
872.946024,38,127.378657
454.532365,38,128.188275
-272.006036,38,128.934981
33.783784,38,129.731938
89.84535,38,130.606784
740.74,38,131.438009
-415.684474,38,132.218623
96.161844,38,133.017733
976.703559,38,133.837233
-601.900892,38,134.898427
79.052174,38,135.848055
79.393316,38,136.800569
871.490827,38,140.955538
1781.321954,38,141.754886
520.418748,38,142.581377
-238.291269,38,143.35321
97.080368,38,144.147718
194.782,38,144.92585
38.499537,38,145.747427
562.980568,38,146.491552
725.503986,38,147.274418
-78.816552,38,148.078553
309.705318,38,148.8544
22.544256,38,149.595822
1167.364389,38,150.389863
-440.322711,38,151.197979
-115.740625,38,152.003061
111.448723,38,152.752258
-63.911131,38,153.5449
1517.745581,38,154.439964
-894.817732,38,155.386747
577.251534,38,156.462007
598.116465,38,157.509764
233.318985,38,158.401694
62.561212,38,159.42128
721.103043,38,160.380166
-127.253478,38,161.206283
76.923462,38,161.973051
513.718432,38,162.820485
627.942857,38,163.585353
-68.625192,38,164.379303
48.160455,38,165.148824
-165.876933,38,165.924682
-309.406018,38,166.71345
214.214529,38,167.492674
-737.326452,38,168.289874
-575.53291,38,169.047162
401.004762,38,169.806627
-75.500397,38,170.594262
-1110.270495,38,171.484695
-365.111471,38,172.332529
-18.582857,38,173.188372
633.203673,38,174.034014
-28.985833,38,174.890688
-137.665914,38,175.691279
-89.462169,38,176.508378
337.69609,38,177.261425
-18.648534,38,178.063608
41.236236,38,178.86648
0.0,38,179.677438
-218.833746,38,180.427372
692.64,38,181.203343
21.388808,38,182.02053
-93.086041,38,182.850081
222.090889,38,183.633804
0.0,38,184.482492
-521.259058,38,188.53989
1491.328273,38,189.315883
311.652805,38,190.193345
-88.1658,38,190.996334
-31.021719,38,191.791404
124.223571,38,192.590201
-521.09129,38,193.427202
-197.660075,38,194.248464
701.753684,38,195.056432
2934.705944,38,195.853534
1879.02,38,196.626774
8753.388776,38,197.43565
148.286941,38,198.27973
1023.226223,38,199.08486
-522.875556,38,199.893599
-274.895369,38,200.708806
-405.986525,38,201.513886
558.069103,38,202.287088
-118.415789,38,203.064156
-67.39595,38,203.849241
-267.379545,38,204.643771
153.01446,38,205.451142
-36.363636,38,206.203255
-479.857043,38,207.009943
1165.84901,38,207.819469
-119.193073,38,208.631165
90.577087,38,209.41456
-318.412767,38,210.192838
1331.002319,38,210.972605
-252.768151,38,211.756277
-258.468378,38,212.501355
-31.055893,38,213.27333
-303.254176,38,214.073495
-262.670426,38,214.863708
-512.82,38,215.637803
327.272727,38,216.412716
-18.466707,38,217.217139
552.135566,38,217.994294
-24.296167,38,218.819199
-132.091359,38,219.617794
0.0,38,220.435469
112.781842,38,221.243707
41.035302,38,222.047267
50.515161,38,222.83674
-29.157095,38,223.618074
163.660662,38,224.430814
216.263869,38,225.24988
-177.778,38,226.08128
204.612864,38,226.8525
-488.506724,38,227.638427
-434.150209,38,228.467183
-348.169426,38,229.289759
-418.674226,38,230.082808
481.205714,38,230.830783
91.294646,38,235.013677
508.020122,38,235.787341
-112.032193,38,236.57862
224.888317,38,237.382236
-459.53926,38,238.176643
270.04345,38,238.950356
65.933571,38,239.758452
-274.952212,38,240.563198
-194.392248,38,241.36926
-522.222222,38,242.168828
918.991833,38,242.96834
311.895215,38,243.74686
-155.231282,38,244.529451
-169.435938,38,245.281459
-399.999,38,246.068305
494.851516,38,246.858333
165.630435,38,247.690405
676.364872,38,248.509748
701.753684,38,249.289529
-56.377674,38,250.074548
366.934266,38,250.873742
1134.754785,38,251.648901
664.335,38,252.388674
268.777391,38,253.174653
209.151111,38,253.97243
-4.396791,38,254.781315
63.795789,38,255.542308
-301.774692,38,256.317137
-661.07302,38,257.089037
561.586473,38,257.884313
-285.7145,38,258.652356
-195.83814,38,259.450401
-194.983424,38,260.239645
-232.5575,38,261.028274
-270.911415,38,261.81594
16.666563,38,262.582378
819.742495,38,263.377233
905.782858,38,264.156474
270.27,38,264.940866
1476.559524,38,265.69045
-166.296987,38,266.450289
-296.596849,38,267.226422
-459.675413,38,268.047795
-75.393435,38,268.902517
-414.143157,38,269.695049
968.105505,38,270.556129
526.315,38,271.353029
-716.440637,38,272.155295
-124.02968,38,272.945782
165.164804,38,273.728654
-88.987097,38,274.529702
-228.570857,38,275.29671
-138.010213,38,276.077793
0.0,38,276.845107
-332.064407,38,281.014698
828.152174,38,281.785355
-177.38851,38,282.61198
791.202857,38,283.437723
350.876667,38,284.260546
1014.311811,38,285.084875
-185.574521,38,285.867269
-68.619711,38,286.683488
-132.566288,38,287.495891
-84.616783,38,288.316138
-507.902353,38,289.119266
-70.174737,38,289.896613
-533.332333,38,290.724506
0.0,38,291.537281
7.838827,38,292.345539
-144.584125,38,293.11342
76.012398,38,293.897316
82.322109,38,294.678604
-343.750897,38,295.468831
-323.512225,38,296.271543
-87.996943,38,297.027575
945.945946,38,297.985348
512.555714,38,298.897369
539.266649,38,299.821101
173.406314,38,301.023252
3257.563398,38,301.902347
-99.999375,38,302.846421
454.545,38,303.712397
-125.355185,38,304.639622
57.471379,38,305.520808
382.352941,38,306.320142
66.11737,38,307.104639
726.978798,38,307.882766
1197.094354,21,308.284966
-112.519193,38,309.073623
-344.648168,38,309.851332
-344.882456,38,310.65626
-378.530622,38,311.467039
-199.441881,38,312.270422
-664.087184,38,313.037272
304.495636,38,313.794274
746.548246,38,314.602293
44.171438,38,315.406127
-360.904286,38,316.164997
-102.64281,38,316.944077
675.076081,38,317.737874
21.816592,38,318.646035
-482.538778,38,319.719645
-334.907849,38,320.943983
204.341379,38,322.311987
267.145841,38,323.376966
-519.461973,38,324.388684
59.064464,38,325.641919
-117.647059,38,326.596153
328.709196,38,331.155051
-300.128403,38,331.946665
-424.656784,38,332.762771
102.96,38,333.57488
455.99163,38,334.373918
1920.947826,22,334.750747
1016.537621,38,335.531014
345.293101,14,335.749721
-512.009296,38,336.568161
-231.66,38,337.340382
-166.319231,38,338.128072
-434.782717,38,338.912456
995.726763,38,339.75803
471.698302,38,340.541449
1964.714407,38,341.34927
96.757109,38,342.171998
-196.770916,38,343.001692
17.315909,38,343.816994
-572.603529,38,344.599679
-160.0,38,345.384663
-105.903375,38,346.202451
-229.924527,38,347.002833
-107.327718,38,347.787912
135.648551,38,348.552768
172.705926,38,349.316432
149.309649,38,350.080393
-94.84831,38,350.907257
-169.133023,38,351.680768
173.914783,38,352.49067
544.217143,38,353.265487
-64.367333,38,354.043547
-3.013004,38,354.829653
-293.516894,38,355.625054
-905.017515,38,356.393715
-273.794351,38,357.17773
190.099558,38,357.940381
-362.212172,38,358.712322
699.54292,38,359.519417
-542.995566,38,360.333408
78.271613,38,361.138238
132.16502,38,361.891778
757.76259,38,362.668331
1100.477368,38,363.447543
595.238095,38,364.206107
386.473043,38,364.944614
1375.930191,38,365.718403
368.152358,38,366.522803
-271.220938,38,367.322464
-372.928804,38,368.084008
-523.648649,38,368.871093
2483.020831,38,369.668869
-128.467327,38,370.47437
1246.052011,38,371.274684
-31.62087,38,372.09699
207.784074,38,372.87179
265.990066,38,376.83235
1066.996452,38,377.645697
956.04995,38,378.467704
-27.100244,38,379.293646
8.889333,38,380.107277
-163.473103,38,380.898555
-392.156667,38,381.712622
-47.552122,38,382.571866
724.817018,38,383.391586
641.710909,38,384.213568
-59.72386,38,384.985365
3400.170171,15,385.244779
-281.765401,38,386.02139
-175.438333,38,386.81392
-136.803406,38,387.629733
-374.491688,38,388.410589
520.507127,38,389.159334
300.223087,38,389.973928
-56.97963,38,390.767411
149.309649,38,391.549927
1224.339123,38,392.308456
482.654359,38,393.071265
-582.77027,38,393.86013
2600.265249,38,394.659357
-412.209618,38,395.477987
