#{"t_start": 1682972623.655929, "env_id": null}
r,l,t
-665.619353,2,0.232814
-361.889227,38,1.480175
286.712378,26,2.115842
-820.052264,11,2.301829
-3995.797426,17,2.55046
702.020759,14,2.760387
-919.602611,9,2.893329
841.666667,38,3.886417
608.094552,4,3.95475
3262.734016,10,4.134397
211.672474,9,4.269729
197.56231,11,4.489767
1008.888389,38,5.492888
0.0,38,6.771437
-3257.142667,25,7.261554
-518.949213,38,7.944352
-6444.662662,8,8.102636
-1453.726443,29,8.776967
-32.396899,18,9.164293
-704.480632,36,9.942933
-1505.346709,2,9.981047
503.015616,4,10.042493
-1861.255778,29,10.744778
226.244412,38,11.684312
1557.548029,4,11.744543
-30.302917,38,12.489095
197.04297,19,12.895269
-1048.076491,11,13.09342
-593.769261,23,13.562756
-1180.714278,13,13.773457
365.569545,9,13.909619
1284.482128,6,14.002919
-586.561265,6,14.116093
-2576.970833,13,14.358672
0.0,38,15.183596
-2505.145801,11,15.415251
-2675.858538,19,15.784673
-851.06383,38,16.583711
1410.526,6,16.694277
270.27,38,17.596568
-56.079307,38,18.526591
209.4983,15,18.7915
1677.817963,36,19.654974
1570.461998,38,20.630734
589.817223,10,20.76909
-2423.605826,5,20.839727
-2732.652225,28,21.423078
-2328.09693,9,21.613389
-107.526667,38,22.575291
-1351.345857,20,22.944318
-1328.244667,25,23.454343
-11711.447557,38,24.471943
-9571.013707,38,25.711521
708.827964,34,26.468941
-143.368889,38,28.317111
468.23583,22,28.752015
-643.402504,16,29.055972
-556.089026,27,29.607393
369.587885,14,29.847908
1655.172414,38,30.730661
985.449763,6,30.804229
-41.73941,38,31.612469
425.450518,38,32.501452
-796.636411,10,32.715221
438.692784,38,33.561507
1521.107166,7,33.676486
-2285.714286,38,34.566454
1452.462295,6,34.66513
-807.032967,33,35.481755
866.391545,16,35.750429
1235.692931,38,36.712107
-2275.637376,38,37.559176
-162.036875,38,38.398949
-1489.97459,10,38.550417
-2945.233529,4,38.611651
-214.485619,38,39.574441
1965.812222,21,39.903202
1048.609441,38,40.649366
882.285912,12,40.863318
-2182.201962,5,40.961363
-577.991053,17,41.363662
-3084.563912,8,41.52897
246.836358,7,41.647898
163.27,38,42.546482
2177.420625,36,43.449019
43.651,38,44.394774
-477.220771,38,45.154207
203.323939,38,46.263539
-7271.45246,38,47.157226
0.0,38,51.094353
-197.682162,38,52.016331
298.134783,38,52.907978
462.380766,38,53.595134
-1146.854117,38,54.637842
-102.612259,38,55.546276
-2077.031203,25,56.045535
-86.837079,34,56.87774
-3347.665474,19,57.246945
2264.781177,10,57.465765
0.0,38,58.408395
137.203024,38,59.726567
94.561495,38,61.032214
-68.922092,38,62.029537
512.899195,7,62.140771
1321.796341,38,62.866582
136.478958,8,62.967673
0.0,38,63.686649
-389.61,38,64.579207
-1760.293308,38,65.444335
-147.683203,38,66.352474
663.950023,38,67.260906
624.118224,32,67.891388
0.0,38,68.769697
244.111157,38,69.745093
0.0,38,70.628501
3243523.960396,13,70.872301
124.063151,38,71.775993
-3129.096433,38,72.453618
114.286,38,73.295553
1530.799565,22,73.720174
1494.453119,33,74.413029
159.838917,38,75.413986
70.028044,38,76.313454
-56.140667,38,77.081164
1124.564652,38,78.015573
-162.478952,38,78.926902
-1413.275609,29,79.532282
9.882207,10,79.693846
-4000.0,38,80.554524
-629.660924,38,81.303244
218.655381,38,82.205009
-118.865276,9,82.335785
-335.065,18,82.694374
546.976903,38,83.527075
397.726875,38,84.3812
-1124.254865,38,85.135341
-126.681497,38,85.888559
940.506051,17,86.319111
-1443.980717,38,87.286869
-2171.126169,24,87.949093
1417.26947,21,88.382442
-194.50334,11,88.593575
-314.2865,38,89.455013
380.312127,38,90.156584
-352.388903,38,91.028372
527.447633,38,92.05902
-14326.527635,6,92.152016
-90.497692,38,93.032793
2501.276316,3,93.081265
-3276.326935,38,93.943482
0.0,38,94.657845
16.688849,12,94.811905
-596.320857,36,95.738384
-235.007674,38,96.711027
67.995293,38,100.845596
320.855455,38,101.854829
538.971064,38,102.690067
2328.074104,6,102.788286
828.147178,10,102.986515
108.024156,38,103.792765
195.376025,38,104.560906
-329.642932,5,104.638189
828.541524,10,104.816416
-256.003069,38,105.715896
-2547.539532,38,106.614947
467.744701,38,107.493204
