#{"t_start": 1682517040.0803468, "env_id": null}
r,l,t
0.0,38,0.839704
-372.405202,38,1.683734
379.703352,38,2.454642
30786352.573875,21,2.806474
-3666.666667,38,3.534647
0.0,38,4.134161
0.0,38,4.881762
6005415.634135,23,5.359851
0.0,38,6.230211
3443.995821,38,7.077811
0.0,38,7.715926
-669.26077,38,8.484768
2144.944025,38,9.220281
1429.217427,20,9.536707
-500.0,38,10.282215
-644.227878,38,10.927269
0.0,38,11.577546
-1466.71849,38,12.436522
-563.674461,38,13.166565
-1061.075444,36,13.811857
0.0,38,14.372016
21.633956,4,14.414989
-1777.777778,38,15.084842
571.225096,25,15.567706
1693.647032,32,16.206803
80.200952,38,17.011667
1172.651393,20,17.397154
0.0,38,18.005285
-96.886013,38,18.742506
6487128.712871,38,19.49104
909.814478,38,20.31325
1066.666667,38,21.042321
9100990.09901,38,21.651626
0.0,38,22.346471
47.363026,28,22.856181
48.334708,38,23.596457
0.0,38,24.294953
-1043.478261,38,24.911324
6962376.237624,38,25.631325
270.27,38,26.342279
15.129709,38,27.046965
0.0,38,27.740047
0.0,38,28.334772
675.209871,38,29.018088
0.0,38,29.706861
0.0,38,30.447246
0.0,38,31.123537
194.006501,38,31.727526
310.558929,38,32.382046
-781.332789,38,33.13982
-78.200587,38,33.916867
0.0,38,34.589112
-10176.910731,38,35.270571
1900.0,38,36.037223
0.0,38,36.759813
0.0,38,37.448206
-512.779485,10,37.60733
9076655.713152,38,38.288338
0.0,38,40.790966
1655.172414,38,41.493469
-0.49799,38,42.056361
71.582678,38,42.73733
-3043.592912,38,43.52486
4690543.515177,23,43.921099
902.425314,19,44.268935
265.873424,38,45.932335
-2285.714286,38,46.712936
0.0,38,47.745773
-242.424242,38,48.61941
666.666667,38,49.4002
950.201568,30,49.969506
-11.513887,38,50.881048
0.0,38,51.608399
0.0,38,52.427833
0.0,38,53.500157
0.0,38,54.609839
0.0,38,55.642829
856.846943,38,56.563161
0.0,38,57.345416
-4577.364945,38,57.999409
0.0,38,58.770965
0.0,38,59.480555
0.0,38,60.380744
78407920.792079,38,61.072801
0.0,38,62.212208
63.429648,38,63.73325
2681376.50008,38,64.672843
17417821.782178,38,65.529249
0.0,38,67.458569
-862.477927,38,69.170494
0.0,38,70.669117
11873267.326733,38,72.895072
-1425.675399,31,74.745122
0.0,38,76.642424
0.0,38,80.900413
0.0,38,83.306252
0.0,38,85.735096
0.0,38,88.509858
1610.219134,34,91.349337
1806.348996,26,92.580329
0.0,38,94.400248
0.0,38,95.687734
0.0,38,98.347836
10289108.910891,38,100.495764
-4438.597412,10,100.978741
0.0,38,102.733694
-31.760436,32,105.605425
-202.02,38,106.80823
-1618.615363,9,107.008625
-1446.188681,38,108.972621
0.0,38,110.136195
3886015.868517,37,111.459914
1617.432771,38,112.690248
0.0,38,114.174264
-371.872777,24,114.845147
3680.952381,19,115.478317
205.128205,38,118.354697
0.0,38,119.024294
66.66625,38,119.785784
0.0,38,120.48171
0.0,38,121.179125
0.0,38,121.823118
0.0,38,122.399699
116.55,38,123.105345
0.0,38,123.781462
37.141149,38,124.448963
0.0,38,125.091992
-1651.466097,38,125.77767
