#{"t_start": 1682705542.662312, "env_id": null}
r,l,t
529.07637,38,1.764052
-361.889227,38,4.117908
-513.667871,25,5.739819
-837.341006,11,6.286317
311.652805,38,11.924149
-510.217535,4,12.062479
-29.474636,38,13.868604
6004490.830822,23,14.757077
608.094552,4,14.876647
2609.579099,12,15.442752
1136.19143,17,16.1264
-33.20315,19,20.429071
1008.888389,38,22.077234
1133.403663,17,22.719182
193.939394,30,24.090608
-518.949213,38,30.013043
116.433242,38,31.616309
-512.820614,10,31.862475
746.514779,19,32.465923
-976.738929,7,32.620087
209.850906,28,33.630262
503.015616,4,33.72343
-1861.255778,36,37.948446
604.197388,15,38.445354
1059.248299,31,39.501672
314.685,38,40.645558
1374.903373,19,41.14587
240.602857,38,44.874185
-116.622234,38,46.055834
171.429,38,47.22949
1239.797655,16,47.793007
1245.4555,15,50.144978
752.994497,23,50.734601
364.386957,38,52.799788
525.774929,20,53.580441
48.334708,38,56.497559
-2675.858538,34,57.621596
-1000.373479,24,58.287976
-56.140667,38,59.434853
270.27,38,63.323772
-47.29966,38,64.666274
53.594178,38,65.943017
-198.026904,38,67.019648
-19.701011,5,67.112622
589.817223,4,69.322845
27196487.343366,38,70.47963
-1209.174877,23,71.056439
194.006501,38,72.014795
193.704237,38,75.38842
0.0,38,76.275934
-1081.198647,38,77.340153
1743.466322,38,78.594639
-9004.206813,38,82.49807
1993.846154,38,83.979913
-81.135882,38,85.048024
76.518431,38,88.742647
-476.140238,19,89.169767
1149.954649,38,90.664301
98.169706,38,92.15726
1409.449961,15,95.114027
-5.924324,27,95.877891
-8.440361,38,96.953451
778.753334,38,98.724136
4690263.972767,23,102.173859
642.022711,14,102.49477
-98.885526,38,103.887899
-1029.676894,2,103.930545
-244.496129,38,105.109452
-914.283009,34,109.040968
1193.149503,10,109.289582
885.455164,29,110.082027
-1514.478902,11,110.330052
-124.069355,38,111.442721
-1489.97459,19,111.849059
-3428.571429,38,116.19452
-190.77502,38,117.289566
2015.810435,30,118.26732
1626.10958,38,119.563206
-38.2011,38,122.677924
-1865.125535,6,122.821438
212.765745,38,124.010007
-3501.467769,6,124.179327
314.567032,38,125.156474
163.27,38,128.56292
-64.367333,38,129.736726
26.824867,38,130.909904
-447.831356,38,134.103483
203.323939,38,135.1607
765.420354,38,136.465913
-591.430879,38,140.239528
-196.079167,38,141.252944
242.423333,38,142.224424
-1797.406834,31,143.020261
-123.815345,23,146.071025
-34.302138,38,147.018988
415.404994,38,148.42244
231.726777,33,149.474732
259.094571,38,153.154637
1393.620948,30,154.031382
1640.255188,26,154.866557
18.791513,38,156.247617
94.561495,38,159.36041
251.632122,10,159.623632
-20.434138,38,160.541225
-4783.271579,11,160.844017
-110.706172,8,161.076832
-107.322654,31,162.02414
